video_name,xmin,xmax,clr_score,reg_score,label
v_lGESoAdgps8,0.0,0.99,0.004869181,0.95953249109037,Discus throw
v_X0UmqVLOAK0,0.0,0.99,0.0048983637,0.9985433437378833,Discus throw
v_5MLEO5JWRYI,0.0,0.99,0.0047441083,0.98494623095168,Cleaning sink
v_HpJ2pr0ykqo,0.0,0.99,0.004851967,0.998336662087603,Painting fence
v_LUGksGa4WJA,0.0,0.99,0.0039993417,0.9999997269563795,Surfing
v_iId8WcbiKZI,0.01,0.98,0.00452005,0.927829423850571,Waterskiing
v_exCENNu1qBU,0.01,0.98,0.004428158,0.9999999483383931,Powerbocking
v_Z6l2Yu9Q0mU,0.0,0.99,0.0048545687,1.0,Hula hoop
v_x86YIU9TIPw,0.0,0.99,0.00485095,0.9989956549925347,Playing lacrosse
v_A8xThM3onkc,0.01,0.98,0.0043327366,0.9999989855332231,Mixing drinks
v_VDYSVR0HbpM,0.0,0.99,0.0048438204,0.9990564443691254,Ballet
v_UWTpfygMUQw,0.0,0.99,0.0047161886,0.5780496338275378,Roof shingle removal
v_Uqs8NaPzHKU,0.0,0.99,0.0048522092,0.9439489333511476,Making a cake
v_p3PEMCN4h_g,0.0,0.99,0.004655996,0.999999160329062,Running a marathon
v_TDfWOcKi684,0.0,0.99,0.0047466587,0.9999999999999465,Paintball
v_rFTVKkMqpIQ,0.0,0.99,0.0031480533,0.99967601502834,Washing hands
v_PLqTX6ij52U,0.0,0.99,0.001294817,0.7176052286888085,Assembling bicycle
v_1fbU_MkV7NE,0.0,0.99,0.0032011464,0.9839119753880822,Doing crunches
v_3OcAjx8e4LU,0.0,0.99,0.004719053,0.9997055116399369,River tubing
v_IZx-EMbylmM,0.0,0.99,0.0038101955,0.8637619248848448,Gargling mouthwash
v_qRPq2PEiyM0,0.0,0.99,0.004693491,0.9999999999998507,Playing saxophone
v_I6nuNE-Qibw,0.0,0.99,0.004898619,0.9558845116019499,Making a cake
v_OaFYMXKxTbk,0.0,0.99,0.004666477,0.9999922861908888,Skiing
v_cdufbM2OCwM,0.0,0.99,0.0024945496,0.9999999999999898,Playing saxophone
v_tMTvOaUYNeg,0.0,0.99,0.0047770874,0.9999941094792055,Raking leaves
v_EGrXaq213Oc,0.01,0.98,0.004265903,0.9972073018044632,Snowboarding
v_yGwevg8vwuU,0.0,0.99,0.004991926,0.9772465882264211,Capoeira
v_9PY28-zQhm4,0.0,0.99,0.0047062254,0.9966714232147059,Peeling potatoes
v_RxXBMgsu6uU,0.0,0.99,0.0047822315,0.9954735210631722,BMX
v_FrkXeG1YoKg,0.0,0.99,0.001787004,0.9999998005018755,Pole vault
v_keaMf0raxF8,0.0,0.99,0.0044493233,0.9999994638605885,Curling
v_TjR436qaQw4,0.0,0.99,0.00483282,0.9999999999995619,Carving jack-o-lanterns
v_QUJXOFPJ_YI,0.0,0.99,0.0038666814,0.8134733311596486,Playing racquetball
v__4LZrf1GL1s,0.0,0.99,0.0044578877,0.4146251153917769,Horseback riding
v_Srpn1NaBueI,0.0,0.99,0.0048297527,0.9999724437979053,Calf roping
v_v7OluHKECRA,0.0,0.99,0.003073481,0.9998923600836442,Baking cookies
v_TUMk0wpBiP0,0.01,0.98,0.004416964,0.9992041410398094,Snowboarding
v_ZWlwKbuK2fM,0.0,0.99,0.0031802335,0.9999937811260979,Doing karate
v__D9oML1HvVw,0.0,0.99,0.004588093,0.9999999974590663,Slacklining
v_pMmlJGSucss,0.0,0.99,0.0047420254,0.9671174772502709,Plataform diving
v_ecUypvzBAOQ,0.0,0.99,0.00485348,0.7687461942615155,Preparing salad
v_Kyo1nkGKRqw,0.0,0.99,0.0015306848,0.930184392360873,Grooming horse
v_KpmdpL5btYo,0.0,0.99,0.0017718938,0.9999606790486862,Swimming
v_Bh8RcPBQjxo,0.0,0.99,0.00017729732,0.9910826066030096,Doing motocross
v_DV1ITGBfo5w,0.0,0.99,0.0023735596,0.9999944606123787,Kneeling
v_wuknZBoyMRE,0.0,0.99,0.0040346053,0.9999931637749643,Powerbocking
v_E4n0KcS_zgI,0.0,0.99,0.0031825115,0.9999999435398697,Playing congas
v_Rq1MoqtH8fM,0.0,0.99,0.0032580143,0.5452154718693525,Cutting the grass
v_ieWgalZPc2g,0.0,0.99,0.0050059715,0.9862553156786713,Doing motocross
v_ZH8hnmjRDsI,0.0,0.99,0.0023905362,0.9999992826795799,Building sandcastles
v_jM3Buw2Kidk,0.0,0.99,0.00017533859,0.9999999999942029,Windsurfing
v_na4vSFfVi2s,0.0,0.99,0.0030865127,0.9707028291774394,Using the monkey bar
v_GO_36Qd9bb0,0.01,0.98,0.004429281,0.999999998540631,Tango
v_LNLsmdVMCmY,0.0,0.99,0.0048140245,0.9713764184430299,Removing ice from car
v_KI6FNa3BwMM,0.0,0.99,0.0044211196,0.9999908881043578,Futsal
v_w0d32MVTY9Q,0.0,0.99,0.0013132719,0.999989285440749,Calf roping
v_mh_0QLZhrSY,0.0,0.99,0.0015983955,1.0,Playing bagpipes
v_6UqWORrn3KI,0.0,0.99,0.0013047291,0.8086007938569837,Making a lemonade
v_iA8ylJWzzVc,0.0,0.99,0.0045143072,0.9998788269180962,Decorating the Christmas tree
v_k_xDTGiDp9A,0.0,0.99,0.0036540464,0.9998773121368988,Kayaking
v_noKDv_a8u-Y,0.01,0.98,0.004396395,0.9999999945729117,Playing guitarra
v_YeikEC85CGk,0.0,0.99,0.0027528792,0.9991417731059138,Beach soccer
v_smh90DBXsBg,0.0,0.99,0.0047578053,0.9994796509303415,Getting a tattoo
v_huUb8mM5fv4,0.0,0.99,0.0040599992,0.5042605973345736,Long jump
v_RNAUncQEASo,0.0,0.99,0.004885363,0.9999999604216497,Grooming dog
v_G72MBCYwT8E,0.0,0.99,0.003334186,0.9941789534021622,Hammer throw
v_FX4inHmWQtE,0.0,0.99,0.002894367,0.9999761565665091,River tubing
v_pqVWGi0d4RU,0.0,0.99,0.0049939305,0.9999999978816092,Playing ice hockey
v_g5CYoFJFkPk,0.0,0.99,0.003243055,0.9999575421079258,Baton twirling
v_yBL1hCKmX7s,0.0,0.99,0.0047509507,0.9900878291242212,Javelin throw
v_TyHLBe6__rc,0.0,0.99,0.0048974007,1.0,Windsurfing
v_ynUBEoobKW0,0.0,0.99,0.005007168,0.9504244372802972,Tumbling
v_phg81-nhqH4,0.0,0.99,0.0038099538,0.9994212972457719,Kneeling
v_PFrFwE3CfjE,0.0,0.99,0.004784139,0.8689015921939037,Hanging wallpaper
v_TdqEtrrPX_Q,0.0,0.99,0.004843997,0.9999999262097105,Disc dog
v_aj-klsonETc,0.0,0.99,0.004832683,0.9963089083525911,Hurling
v_C-6kvesNmU4,0.0,0.99,0.004796953,0.9431473818849112,Kayaking
v_RYl-eG9hasI,0.0,0.99,0.0034045803,0.9999949150229497,Baton twirling
v_1RKExOpIGas,0.0,0.99,0.0034296117,0.9999999498968698,Doing motocross
v_AJ15GW-sS5M,0.0,0.99,0.004904019,0.7558792065159836,Long jump
v_IEqnfSiCIXc,0.0,0.99,0.004944277,0.9998962860033699,Skateboarding
v_vCeaFAiokrU,0.0,0.99,0.0047619436,0.9999998715699001,Shoveling snow
v_T8ae3_Pm5eE,0.0,0.99,0.002822388,0.999999999994155,Ballet
v_BQ_BJNFGmTg,0.0,0.99,0.004866043,0.9999998835687904,Playing congas
v_K98WGaMR4eM,0.0,0.99,0.0016612448,0.9974886544805203,Doing a powerbomb
v_kYkwA_lvqYc,0.0,0.99,0.0047574383,0.6331998458761486,Polishing shoes
v_gVMG_FHDrvo,0.0,0.99,0.0047968077,0.9998719619392182,Doing a powerbomb
v_GNg5kjnJlOE,0.0,0.99,0.004061451,0.9999960888009907,Powerbocking
v_ymmBQHiNK24,0.0,0.99,0.003183234,1.0,Playing bagpipes
v_CjPN7fw0B48,0.0,0.99,0.0033933301,0.809098979606548,Mowing the lawn
v_blOgPoTkhks,0.01,0.98,0.004465453,0.9985460885055225,Using uneven bars
v_DQ9EaCSFwGI,0.01,0.98,0.004512818,0.9999999957420643,Longboarding
v_E22gU_8tafI,0.0,0.99,0.0030882775,0.9058356636841647,Triple jump
v_ICBrXUuwvgg,0.0,0.99,0.0033816032,0.9997981799072803,Rock climbing
v_IjULOynkK5I,0.0,0.99,0.0021539212,0.9999999999999981,Spinning
v_7mDiIJ9r4EU,0.0,0.99,0.003944247,0.9986090362092316,Wakeboarding
v_BkjWeWUwG0A,0.0,0.99,0.0046751522,1.0,Swinging at the playground
v_6j-H-tIjJvA,0.0,0.99,0.004790406,0.9999782744219002,Beach soccer
v_9VRLj4IfUzY,0.0,0.99,0.004706915,0.42040899851612096,Painting furniture
v_m6H1tLAkyjQ,0.0,0.99,0.0038886154,0.9999736166394879,Surfing
v_gJxR-KzawO4,0.0,0.99,0.003800254,0.9997628865741873,Washing dishes
v_xbcP38aF5Ok,0.01,0.98,0.0043369266,0.273475240453717,Rock-paper-scissors
v_C0t3fbC2RCg,0.0,0.99,0.0023716358,0.43277717469495086,Doing karate
v_EVQlh2Et5tc,0.0,0.99,0.0036777821,0.8745024623172499,Tumbling
v_AJ15GW-sS5M,0.0,0.99,0.0017883185,0.7558792065159836,Long jump
v_D5A6eBnKmD8,0.0,0.99,0.0044449265,0.9998843156049105,Doing kickboxing
v_1AiQt87brik,0.0,0.99,0.004930537,0.9999999998897401,Playing congas
v_t_Creyg6ANs,0.0,0.99,0.00430481,0.9889119982425535,Shuffleboard
v_TlDh_RZ3HDk,0.01,0.98,0.0043751216,0.9994765061787501,Braiding hair
v_RTnNxbG2V5o,0.0,0.99,0.004711519,0.9999999999891006,Riding bumper cars
v_ZkIGGQ9iOSA,0.0,0.99,0.004628165,0.9995146908409721,Doing crunches
v_2nPrH4Tv0yc,0.0,0.99,0.00435223,0.9999999994178869,Doing kickboxing
v_6jgWCFWtCfU,0.0,0.99,0.0049966564,0.9999999994062972,Drum corps
v_Jp8L9h4aaV4,0.0,0.99,0.0047148895,0.99999999997362,Doing step aerobics
v_tGHLUWWm_zU,0.0,0.99,0.0049414244,0.9995353534026454,Plastering
v_XDOtHC4E6L8,0.0,0.99,0.0045293057,0.8464875445631926,Using parallel bars
v_pk7LcugO3zg,0.01,0.98,0.004292996,0.7218316617127923,Drinking beer
v__3I4nm2zF5Y,0.0,0.99,0.0018117145,0.8682371384815298,Getting a haircut
v_PrR-kkpy1c8,0.0,0.99,0.0014645524,0.9939794729916015,Rafting
v_33eH3ozXLmU,0.0,0.99,0.0045545744,0.9999999949648836,Scuba diving
v_-bqaXU4s8Qs,0.0,0.99,0.004696825,0.9887152768213395,Hand car wash
v_5E2OdhrgG8s,0.0,0.99,0.0039354167,0.9999999999999822,Playing harmonica
v_Aj0Pd6snB-k,0.0,0.99,0.004915902,0.9999994042433721,Baking cookies
v_D5A6eBnKmD8,0.0,0.99,0.004134969,0.9998843156049105,Doing kickboxing
v_XuYmybr9uDE,0.0,0.99,0.0010044073,0.987124537680355,Making a lemonade
v_sPSfixKrDc0,0.0,0.99,0.0032346575,0.5953306942095458,Waxing skis
v_WhBnR7yIvJc,0.0,0.99,0.0005378995,0.9999999999738239,Swinging at the playground
v_Wrbf7c58IuU,0.0,0.99,0.00053158554,0.98769063978179,Playing water polo
v_k85EQoiLckw,0.0,0.99,0.0048061786,0.7825613886153969,Polishing shoes
v_O62LVI0XNHo,0.0,0.99,0.004382163,1.0,Playing bagpipes
v_8inrvRctXQ0,0.0,0.99,0.0047682277,0.9984507194288765,Playing squash
v_h1t5QZjERms,0.0,0.99,0.003364873,0.9999841516048023,Playing badminton
v_y9bLCC26MGQ,0.0,0.99,0.0045254854,0.938181894953155,Triple jump
v_YDNgm6ufrJc,0.0,0.99,0.004835609,0.6956212743907215,Making a lemonade
v_Yzb_4XMgcM4,0.0,0.99,0.004304393,0.9989882553374534,Baton twirling
v_pZxteNqdweM,0.0,0.99,0.0023385743,0.9999999993036591,Mixing drinks
v_aWnpbk007cE,0.01,0.98,0.004354121,0.9999986092687084,Kite flying
v_v9APkG4il4Q,0.0,0.99,0.004952784,0.9999997178795182,Slacklining
v_Fi2Al65EH0g,0.0,0.99,0.004891129,0.9999999999780377,Disc dog
v_iq0h4m3I8hY,0.0,0.99,0.0016434232,0.9999986173343388,Rafting
v_QQBmydn6--I,0.0,0.99,0.0049207318,0.999994521619935,Starting a campfire
v_kSdWy3subNE,0.01,0.98,0.004425805,0.7430787376314334,Springboard diving
v_8QEG_1GhoEc,0.0,0.99,0.0049019996,0.9999995113432764,Spread mulch
v_q6sLCLnTuik,0.01,0.98,0.0042632143,0.635726123088574,Getting a haircut
v_2VTEseqA5SA,0.0,0.99,0.0050224317,0.9999999974688384,Welding
v_mi6f8kGVR70,0.0,0.99,0.0035615978,0.9999917065468739,Camel ride
v_-0r0HEwAYiQ,0.0,0.99,0.0048851604,0.9999999961997935,Vacuuming floor
v_Irg5qYkjJoY,0.0,0.99,0.004862419,0.9999971571344558,Slacklining
v_nIfYhQHFWZI,0.01,0.98,0.004477297,0.9804067371063075,Using the balance beam
v_B7t85SESTXI,0.0,0.99,0.004737087,0.718380464521481,Paintball
v_2VoWT4gnQDg,0.0,0.99,0.004818333,0.9221614004231389,Roof shingle removal
v_AFtFitXAFks,0.0,0.99,0.0050183195,0.9999999819512254,Tumbling
v_xIhTY02lRSE,0.0,0.99,0.0044926344,0.9620213960400241,Fixing bicycle
v_41__Qick6tM,0.0,0.99,0.0044987975,0.9999999999756337,Braiding hair
v_S-DOW63629o,0.01,0.98,0.0043913494,0.9999999999999885,Playing congas
v_OqA83jGQtfg,0.0,0.99,0.0048404695,0.9999999902429244,Ice fishing
v_dGHryLMDBIU,0.0,0.99,0.0047254236,0.9999999967505449,Smoking hookah
v_6hNV9oxC51k,0.0,0.99,0.0034132178,0.9999999999963289,Rafting
v_xftFhOCEqFs,0.0,0.99,0.0047070105,0.9999999994078961,Pole vault
v_rgAALWYnRrg,0.0,0.99,0.004146193,0.999998319713959,Hitting a pinata
v_DOgmd5jNhXY,0.0,0.99,0.0046248,0.9999985134833664,Scuba diving
v_LYqq0dPB-U8,0.0,0.99,0.004594393,0.99999999815954,Decorating the Christmas tree
v_HLZLkI1NYAs,0.0,0.99,0.004312958,1.0,Playing ten pins
v_mkK9iEzRrqQ,0.0,0.99,0.004920203,0.9997635112473391,Playing field hockey
v_mUsjm4oBBvw,0.0,0.99,0.0046008276,0.999484294461819,Getting a haircut
v_0dkIbKXXFzI,0.0,0.99,0.0043376936,0.9777549422703673,Tumbling
v_6Z4Qg_fNo0Q,0.0,0.99,0.004568123,0.9999999952018086,Scuba diving
v_9q6wWG6ql4E,0.01,0.98,0.0041906084,0.9999997240897538,Using the monkey bar
v_Htp7EK8IB18,0.0,0.99,0.004605126,0.9999999999779435,Snow tubing
v_NGiDXRIx1gk,0.0,0.99,0.0037817,0.9999999999995302,Doing fencing
v_ZwxvczODMbM,0.0,0.99,0.0032106743,1.0,Arm wrestling
v_kFP91VjB1AI,0.0,0.99,0.0031833095,0.863548914359609,Beer pong
v_lGWAepvduTI,0.0,0.99,0.0012987604,0.9833703193381095,Doing crunches
v_zhPqZtWuhow,0.01,0.98,0.0043738084,0.7694456204690849,Arm wrestling
v_87JvCGMC514,0.01,0.98,0.0044216383,0.9999851969220035,Kite flying
v_0EewuppFjEw,0.0,0.99,0.004724913,0.9999999892382617,Snow tubing
v_ZfXkzv-hNlg,0.0,0.99,0.00484543,0.9999999998825576,Rafting
v_1U8y7e22SQg,0.0,0.99,0.004173159,0.9999309951512901,Mooping floor
v_Xj1R81SK_zs,0.0,0.99,0.0047041276,0.9872378218189068,Surfing
v_mSonugqhYuE,0.0,0.99,0.0029982198,0.5401981098480978,Assembling bicycle
v_30Yk_1Yc7Vk,0.0,0.99,0.0033737083,0.9999702132193152,Getting a haircut
v_I6nuNE-Qibw,0.0,0.99,0.004833134,0.9558845116019499,Making a cake
v_VhzPqd0Su5I,0.0,0.99,0.0027515786,0.5796457465644455,Cutting the grass
v_uBPWqgUiQWA,0.0,0.99,0.00017406305,0.6213722295656207,Throwing darts
v_D2JvqkKa-qM,0.01,0.98,0.004347729,0.9639177995521475,Springboard diving
v_DrQgYA5_8VA,0.0,0.99,0.003762337,0.9454838265636997,Waterskiing
v_GaIvG8u1tzo,0.0,0.99,0.0040681567,0.9970996177336716,Getting a piercing
v_60Fyun_Szw4,0.0,0.99,0.004757774,0.9899179428568782,Discus throw
v_U1nvAxorOPQ,0.0,0.99,0.004900056,0.9993887390561494,Grooming horse
v_A3160tXXLGg,0.0,0.99,0.004261947,0.9999999997908792,Playing rubik cube
v_l9HcwQPNvWo,0.0,0.99,0.0049178707,0.5179076087015813,Playing harmonica
v_2Iakg-Z-iXM,0.0,0.99,0.0043293056,0.99999988368099,Baton twirling
v__kj3B0T_TE0,0.01,0.98,0.0044180583,0.8906919238687819,Polishing shoes
v_HlhQ3-WOdgI,0.0,0.99,0.0017451124,0.476879867166489,Washing face
v_ZU4Mgdd3omA,0.0,0.99,0.0024692772,0.9999999999999774,Playing flauta
v_J4rzLO4u_pI,0.0,0.99,0.0048796264,0.5133528235224578,Trimming branches or hedges
v_-UwqKYkkKlU,0.01,0.98,0.004514547,0.999999999857923,Spinning
v_XjV0D7nJx0Q,0.0,0.99,0.0046947,0.9878074030696746,Fixing bicycle
v_cr9VTwfM_2w,0.0,0.99,0.0049334355,0.9999968211702874,Longboarding
v_zmaDLAZu4kA,0.0,0.99,0.0046905964,0.9999993026531039,Calf roping
v_vSV7arHrH5k,0.0,0.99,0.0047846003,0.46656577377641867,Baking cookies
v_wKThOOUV6lY,0.0,0.99,0.004239118,0.9999990087140196,Tug of war
v_iRwRwpVLE_Y,0.01,0.98,0.0042518894,0.7989997748582712,Making a cake
v_CSDApI2nHPU,0.0,0.99,0.004305283,0.9922790528755807,Washing dishes
v_-ZBsdK10Trs,0.0,0.99,0.0047631115,0.9496547339726233,Dodgeball
v_dR3hrw9dVdw,0.0,0.99,0.004412786,0.9999999999169211,Playing piano
v_aS0wGPhD48o,0.0,0.99,0.0041326648,0.9999999999990484,Doing nails
v_3UrypnvwAOY,0.0,0.99,0.0035981121,0.999999986942765,Playing violin
v_P2Fcv3cC8bI,0.0,0.99,0.004847565,0.981605826287801,Hanging wallpaper
v_qkk2tK19sx8,0.0,0.99,0.0037070604,0.9999999999997361,Using the pommel horse
v_045Tkq12H_c,0.01,0.98,0.0042612706,0.9998040124782503,Rock climbing
v_CgaWju3yGc4,0.01,0.98,0.0044556526,0.432677450004053,Changing car wheel
v_zh0haUMeZV0,0.01,0.98,0.004169852,0.998699559920345,Kneeling
v_kxfOrs5ZWkw,0.0,0.99,0.0048882086,0.9985109659451468,Making a cake
v_gh0GD6OvLHE,0.0,0.99,0.0048819734,0.9986739700998919,Shaving legs
v_aDaazrgvjJg,0.0,0.99,0.0047097285,0.5092159968059136,Clean and jerk
v_wKThOOUV6lY,0.0,0.99,0.0047205617,0.9999990087140196,Tug of war
v_U_FxyViYYBA,0.0,0.99,0.0033859874,0.999631201811894,Fun sliding down
v_4IC1_C_dtvk,0.0,0.99,0.0012784405,0.9998814222076727,Playing congas
v_73AGD3RWPEw,0.0,0.99,0.004917527,0.9999999783156722,Slacklining
v_ChH3zlLeWug,0.01,0.98,0.004189624,0.9987041617210064,Shaving
v_R8WbSI3m1lI,0.0,0.99,0.004478533,0.9981732036055347,Rollerblading
v_l2drIA62T8w,0.0,0.99,0.0048741647,0.9999481974615095,Grooming dog
v_c6nEk5N4fSU,0.0,0.99,0.0046776216,0.9999999999971221,Elliptical trainer
v_xMEwcb1P6dQ,0.0,0.99,0.0036807426,0.811343400964567,Playing guitarra
v_b1wnLw3H1vo,0.0,0.99,0.002862713,0.9999999898070938,Doing kickboxing
v_0pegrKSh4iw,0.0,0.99,0.0036105665,0.999999999859205,Playing drums
v_MYFVsllwDnc,0.0,0.99,0.0038776866,0.9955423990092187,Cutting the grass
v_Y9B22Ii7-eE,0.0,0.99,0.00439959,0.9991864976944291,Making an omelette
v_iBz_YrU-T80,0.0,0.99,0.0039038544,0.7313659461013764,Smoking a cigarette
v_p8UOE62POAE,0.0,0.99,0.0048924345,0.9993277405877374,Calf roping
v_PqcdYoa--8g,0.0,0.99,0.004479526,0.9999999645599077,Preparing pasta
v_0Zg-7EgFiC8,0.0,0.99,0.003720996,0.9999989063601191,Cheerleading
v__jxpaVW4_cE,0.01,0.98,0.004167525,0.9999999999999996,Camel ride
